count,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,dayofweek,hour
210,1,0,1,1,8.2,9.85,51,16.9979,2011,1,7,4,8
134,1,0,1,1,8.2,9.09,47,19.9995,2011,1,7,4,9
63,1,0,1,1,9.02,9.85,37,22.0028,2011,1,7,4,10
67,1,0,1,2,8.2,9.85,40,15.0013,2011,1,7,4,11
59,1,0,1,2,8.2,9.85,37,16.9979,2011,1,7,4,12
73,1,0,1,2,8.2,9.09,37,19.0012,2011,1,7,4,13
50,1,0,1,2,8.2,9.85,40,16.9979,2011,1,7,4,14
72,1,0,1,2,8.2,10.605,37,11.0014,2011,1,7,4,15
87,1,0,1,2,8.2,10.605,37,11.0014,2011,1,7,4,16
187,1,0,1,2,8.2,12.88,37,0.0,2011,1,7,4,17
123,1,0,1,1,8.2,11.365,40,6.0032,2011,1,7,4,18
95,1,0,1,1,6.56,9.85,55,6.0032,2011,1,7,4,19
51,1,0,1,1,7.38,10.605,47,7.0015,2011,1,7,4,20
39,1,0,1,1,7.38,9.85,47,8.9981,2011,1,7,4,21
36,1,0,1,2,7.38,9.85,43,11.0014,2011,1,7,4,22
15,1,0,1,2,7.38,9.85,51,11.0014,2011,1,7,4,23
25,1,0,0,2,7.38,9.85,51,11.0014,2011,1,8,5,0
16,1,0,0,2,7.38,10.605,55,6.0032,2011,1,8,5,1
16,1,0,0,2,7.38,12.12,55,0.0,2011,1,8,5,2
7,1,0,0,3,7.38,9.85,55,11.0014,2011,1,8,5,3
1,1,0,0,3,7.38,9.85,55,11.0014,2011,1,8,5,4
5,1,0,0,2,6.56,8.335,74,11.0014,2011,1,8,5,5
2,1,0,0,2,6.56,8.335,74,11.0014,2011,1,8,5,6
9,1,0,0,2,6.56,9.09,74,7.0015,2011,1,8,5,7
15,1,0,0,3,6.56,9.09,93,7.0015,2011,1,8,5,8
20,1,0,0,3,6.56,9.09,93,7.0015,2011,1,8,5,9
61,1,0,0,2,7.38,9.85,80,11.0014,2011,1,8,5,10
62,1,0,0,2,8.2,9.09,69,26.0027,2011,1,8,5,11
98,1,0,0,2,8.2,9.09,59,23.9994,2011,1,8,5,12
102,1,0,0,1,8.2,9.09,44,22.0028,2011,1,8,5,13
95,1,0,0,1,8.2,8.335,32,32.9975,2011,1,8,5,14
74,1,0,0,1,8.2,8.335,32,30.0026,2011,1,8,5,15
76,1,0,0,1,7.38,6.82,29,30.0026,2011,1,8,5,16
69,1,0,0,1,6.56,6.06,37,36.9974,2011,1,8,5,17
55,1,0,0,1,5.74,6.06,39,19.9995,2011,1,8,5,18
30,1,0,0,1,5.74,6.06,36,16.9979,2011,1,8,5,19
28,1,0,0,1,4.92,6.06,36,16.9979,2011,1,8,5,20
37,1,0,0,1,4.92,5.305,39,23.9994,2011,1,8,5,21
34,1,0,0,1,4.92,5.305,36,26.0027,2011,1,8,5,22
22,1,0,0,1,4.1,3.03,39,30.0026,2011,1,8,5,23
25,1,0,0,1,4.1,3.79,42,26.0027,2011,1,9,6,0
12,1,0,0,1,4.1,3.03,42,31.0009,2011,1,9,6,1
11,1,0,0,1,4.1,3.03,46,31.0009,2011,1,9,6,2
4,1,0,0,1,4.1,3.79,46,27.9993,2011,1,9,6,3
1,1,0,0,1,3.28,4.545,53,12.998,2011,1,9,6,4
1,1,0,0,1,3.28,4.545,53,12.998,2011,1,9,6,5
1,1,0,0,1,4.1,4.545,49,19.0012,2011,1,9,6,6
6,1,0,0,1,3.28,4.545,53,12.998,2011,1,9,6,7
10,1,0,0,1,4.1,4.545,49,19.0012,2011,1,9,6,8
19,1,0,0,1,4.92,3.79,46,35.0008,2011,1,9,6,9
49,1,0,0,1,5.74,5.305,43,26.0027,2011,1,9,6,10
49,1,0,0,1,6.56,6.06,40,35.0008,2011,1,9,6,11
83,1,0,0,1,7.38,6.82,37,30.0026,2011,1,9,6,12
75,1,0,0,1,8.2,8.335,34,30.0026,2011,1,9,6,13
72,1,0,0,1,9.02,9.09,32,31.0009,2011,1,9,6,14
82,1,0,0,1,9.02,9.85,35,23.9994,2011,1,9,6,15
92,1,0,0,1,8.2,8.335,34,30.0026,2011,1,9,6,16
62,1,0,0,1,7.38,7.575,37,26.0027,2011,1,9,6,17
48,1,0,0,1,6.56,6.82,40,22.0028,2011,1,9,6,18
41,1,0,0,1,6.56,6.82,43,22.0028,2011,1,9,6,19
38,1,0,0,1,5.74,6.06,46,16.9979,2011,1,9,6,20
20,1,0,0,1,5.74,5.305,46,27.9993,2011,1,9,6,21
15,1,0,0,1,5.74,6.06,46,19.9995,2011,1,9,6,22
6,1,0,0,1,4.92,6.82,50,12.998,2011,1,9,6,23
5,1,0,1,1,4.92,6.06,50,19.0012,2011,1,10,0,0
1,1,0,1,1,4.92,6.06,50,19.0012,2011,1,10,0,1
3,1,0,1,1,4.92,6.06,50,15.0013,2011,1,10,0,2
1,1,0,1,1,4.92,6.06,50,15.0013,2011,1,10,0,3
3,1,0,1,1,4.1,6.06,54,8.9981,2011,1,10,0,4
3,1,0,1,1,4.1,5.305,54,16.9979,2011,1,10,0,5
31,1,0,1,1,4.92,6.06,50,19.0012,2011,1,10,0,6
77,1,0,1,1,4.92,6.06,50,15.0013,2011,1,10,0,7
188,1,0,1,2,4.92,6.06,50,19.0012,2011,1,10,0,8
94,1,0,1,2,5.74,6.06,50,16.9979,2011,1,10,0,9
31,1,0,1,2,5.74,6.06,50,19.9995,2011,1,10,0,10
30,1,0,1,2,6.56,6.82,47,19.0012,2011,1,10,0,11
52,1,0,1,2,8.2,9.09,40,19.0012,2011,1,10,0,12
54,1,0,1,2,8.2,9.09,40,19.0012,2011,1,10,0,13
47,1,0,1,2,8.2,9.85,40,15.0013,2011,1,10,0,14
45,1,0,1,2,8.2,9.85,40,15.0013,2011,1,10,0,15
74,1,0,1,1,8.2,10.605,40,8.9981,2011,1,10,0,16
178,1,0,1,1,8.2,11.365,40,7.0015,2011,1,10,0,17
155,1,0,1,1,8.2,9.85,40,15.0013,2011,1,10,0,18
95,1,0,1,1,6.56,8.335,47,11.0014,2011,1,10,0,19
74,1,0,1,1,6.56,8.335,50,11.0014,2011,1,10,0,20
38,1,0,1,1,5.74,6.82,59,12.998,2011,1,10,0,21
24,1,0,1,1,5.74,7.575,59,11.0014,2011,1,10,0,22
18,1,0,1,1,5.74,7.575,59,11.0014,2011,1,10,0,23
12,1,0,1,1,5.74,8.335,59,7.0015,2011,1,11,1,0
3,1,0,1,1,5.74,7.575,59,11.0014,2011,1,11,1,1
3,1,0,1,2,6.56,7.575,55,12.998,2011,1,11,1,2
6,1,0,1,2,6.56,9.09,55,8.9981,2011,1,11,1,5
27,1,0,1,2,6.56,9.09,55,8.9981,2011,1,11,1,6
99,1,0,1,2,6.56,11.365,55,0.0,2011,1,11,1,7
217,1,0,1,2,7.38,10.605,51,6.0032,2011,1,11,1,8
130,1,0,1,2,7.38,9.85,51,11.0014,2011,1,11,1,9
54,1,0,1,2,8.2,10.605,51,11.0014,2011,1,11,1,10
35,1,0,1,2,8.2,10.605,47,8.9981,2011,1,11,1,11
57,1,0,1,2,8.2,11.365,51,7.0015,2011,1,11,1,12
52,1,0,1,2,8.2,11.365,59,6.0032,2011,1,11,1,13
63,1,0,1,2,8.2,11.365,59,6.0032,2011,1,11,1,14
47,1,0,1,2,6.56,9.85,80,6.0032,2011,1,11,1,15
76,1,0,1,2,6.56,7.575,86,15.0013,2011,1,11,1,16
136,1,0,1,2,6.56,7.575,86,15.0013,2011,1,11,1,17
95,1,0,1,3,6.56,9.09,93,7.0015,2011,1,11,1,18
51,1,0,1,3,6.56,11.365,93,0.0,2011,1,11,1,19
32,1,0,1,3,6.56,7.575,93,12.998,2011,1,11,1,20
20,1,0,1,3,6.56,9.85,86,6.0032,2011,1,11,1,21
29,1,0,1,3,6.56,9.09,93,7.0015,2011,1,11,1,22
19,1,0,1,3,6.56,9.85,93,6.0032,2011,1,11,1,23
7,1,0,1,2,6.56,9.85,86,6.0032,2011,1,12,2,0
6,1,0,1,2,6.56,9.09,86,7.0015,2011,1,12,2,1
1,1,0,1,1,5.74,7.575,86,8.9981,2011,1,12,2,2
5,1,0,1,1,5.74,7.575,86,11.0014,2011,1,12,2,5
16,1,0,1,1,4.92,7.575,93,8.9981,2011,1,12,2,6
54,1,0,1,1,5.74,7.575,69,8.9981,2011,1,12,2,7
128,1,0,1,1,6.56,8.335,59,11.0014,2011,1,12,2,8
81,1,0,1,1,6.56,6.82,59,22.0028,2011,1,12,2,9
39,1,0,1,1,7.38,9.09,55,15.0013,2011,1,12,2,10
35,1,0,1,1,8.2,9.09,51,26.0027,2011,1,12,2,11
55,1,0,1,1,8.2,7.575,47,39.0007,2011,1,12,2,12
49,1,0,1,1,9.02,9.85,44,23.9994,2011,1,12,2,13
44,1,0,1,1,8.2,9.09,47,22.0028,2011,1,12,2,14
49,1,0,1,1,8.2,8.335,47,27.9993,2011,1,12,2,15
68,1,0,1,1,9.02,9.85,44,22.0028,2011,1,12,2,16
139,1,0,1,1,8.2,9.09,47,23.9994,2011,1,12,2,17
137,1,0,1,1,8.2,7.575,47,35.0008,2011,1,12,2,18
83,1,0,1,1,7.38,7.575,47,27.9993,2011,1,12,2,19
56,1,0,1,1,6.56,6.82,50,22.0028,2011,1,12,2,20
57,1,0,1,1,6.56,6.82,55,22.0028,2011,1,12,2,21
33,1,0,1,1,6.56,6.06,55,30.0026,2011,1,12,2,22
20,1,0,1,1,5.74,5.305,59,27.9993,2011,1,12,2,23
7,1,0,1,1,5.74,6.06,59,19.0012,2011,1,13,3,0
2,1,0,1,1,5.74,6.06,50,19.0012,2011,1,13,3,1
2,1,0,1,1,5.74,6.06,50,23.9994,2011,1,13,3,2
3,1,0,1,1,5.74,6.06,50,22.0028,2011,1,13,3,3
4,1,0,1,1,5.74,6.06,50,16.9979,2011,1,13,3,4
3,1,0,1,1,5.74,6.06,50,19.9995,2011,1,13,3,5
28,1,0,1,1,4.92,7.575,54,8.9981,2011,1,13,3,6
72,1,0,1,1,4.92,7.575,54,8.9981,2011,1,13,3,7
202,1,0,1,1,5.74,6.82,50,12.998,2011,1,13,3,8
139,1,0,1,1,5.74,6.06,50,22.0028,2011,1,13,3,9
38,1,0,1,2,6.56,6.82,50,23.9994,2011,1,13,3,10
37,1,0,1,2,8.2,8.335,44,30.0026,2011,1,13,3,11
52,1,0,1,1,8.2,8.335,44,27.9993,2011,1,13,3,12
83,1,0,1,1,9.02,9.85,41,30.0026,2011,1,13,3,13
42,1,0,1,1,9.02,9.85,41,26.0027,2011,1,13,3,14
60,1,0,1,1,9.84,10.605,38,19.9995,2011,1,13,3,15
78,1,0,1,1,9.84,10.605,38,23.9994,2011,1,13,3,16
162,1,0,1,1,8.2,9.09,40,19.0012,2011,1,13,3,17
144,1,0,1,1,8.2,9.09,40,22.0028,2011,1,13,3,18
99,1,0,1,1,6.56,7.575,47,16.9979,2011,1,13,3,19
64,1,0,1,1,6.56,7.575,47,15.0013,2011,1,13,3,20
40,1,0,1,1,5.74,6.06,46,19.9995,2011,1,13,3,21
30,1,0,1,1,5.74,6.06,46,22.0028,2011,1,13,3,22
15,1,0,1,1,4.92,6.82,50,12.998,2011,1,13,3,23
14,1,0,1,1,4.92,6.82,50,12.998,2011,1,14,4,0
5,1,0,1,1,4.1,6.06,54,11.0014,2011,1,14,4,1
1,1,0,1,1,4.1,6.06,54,8.9981,2011,1,14,4,2
1,1,0,1,1,4.1,6.82,54,7.0015,2011,1,14,4,3
8,1,0,1,1,4.1,6.82,54,6.0032,2011,1,14,4,5
17,1,0,1,1,4.1,9.09,54,0.0,2011,1,14,4,6
70,1,0,1,1,4.1,6.06,74,11.0014,2011,1,14,4,7
158,1,0,1,1,4.92,8.335,68,0.0,2011,1,14,4,8
117,1,0,1,1,5.74,7.575,69,8.9981,2011,1,14,4,9
44,1,0,1,1,7.38,9.09,55,12.998,2011,1,14,4,10
53,1,0,1,1,7.38,8.335,51,19.0012,2011,1,14,4,11
61,1,0,1,1,8.2,9.85,44,16.9979,2011,1,14,4,12
77,1,0,1,1,9.02,9.85,37,26.0027,2011,1,14,4,13
64,1,0,1,1,9.02,10.605,41,19.0012,2011,1,14,4,14
68,1,0,1,1,9.84,12.12,38,11.0014,2011,1,14,4,15
90,1,0,1,1,9.02,12.12,41,7.0015,2011,1,14,4,16
159,1,0,1,1,9.02,11.365,41,11.0014,2011,1,14,4,17
139,1,0,1,1,8.2,12.88,47,0.0,2011,1,14,4,18
92,1,0,1,1,6.56,9.85,59,6.0032,2011,1,14,4,19
68,1,0,1,1,7.38,12.12,59,0.0,2011,1,14,4,20
52,1,0,1,1,6.56,11.365,69,0.0,2011,1,14,4,21
36,1,0,1,2,6.56,11.365,69,0.0,2011,1,14,4,22
27,1,0,1,2,7.38,12.12,55,0.0,2011,1,14,4,23
28,1,0,0,1,7.38,12.12,55,0.0,2011,1,15,5,0
20,1,0,0,2,6.56,9.85,59,6.0032,2011,1,15,5,1
12,1,0,0,2,6.56,9.85,59,6.0032,2011,1,15,5,2
8,1,0,0,2,6.56,11.365,59,0.0,2011,1,15,5,3
5,1,0,0,2,6.56,11.365,59,0.0,2011,1,15,5,4
1,1,0,0,1,6.56,11.365,59,0.0,2011,1,15,5,5
3,1,0,0,1,5.74,8.335,63,7.0015,2011,1,15,5,6
10,1,0,0,1,5.74,10.605,63,0.0,2011,1,15,5,7
23,1,0,0,1,5.74,7.575,63,8.9981,2011,1,15,5,8
33,1,0,0,1,6.56,9.09,64,8.9981,2011,1,15,5,9
59,1,0,0,1,7.38,9.85,59,11.0014,2011,1,15,5,10
72,1,0,0,1,8.2,9.85,55,15.0013,2011,1,15,5,11
89,1,0,0,1,9.84,11.365,48,15.0013,2011,1,15,5,12
101,1,0,0,1,11.48,12.88,38,19.9995,2011,1,15,5,13
118,1,0,0,1,12.3,14.395,39,19.0012,2011,1,15,5,14
129,1,0,0,2,13.12,15.91,36,12.998,2011,1,15,5,15
128,1,0,0,2,13.94,16.665,34,12.998,2011,1,15,5,16
83,1,0,0,2,13.12,15.15,36,19.0012,2011,1,15,5,17
84,1,0,0,2,12.3,14.395,45,16.9979,2011,1,15,5,18
74,1,0,0,2,13.12,15.15,39,16.9979,2011,1,15,5,19
41,1,0,0,2,13.12,15.15,39,16.9979,2011,1,15,5,20
57,1,0,0,2,13.12,15.15,39,15.0013,2011,1,15,5,21
26,1,0,0,2,12.3,15.91,42,7.0015,2011,1,15,5,22
44,1,0,0,1,12.3,14.395,45,19.0012,2011,1,15,5,23
39,1,0,0,1,10.66,15.15,56,0.0,2011,1,16,6,0
23,1,0,0,1,10.66,13.635,56,8.9981,2011,1,16,6,1
16,1,0,0,1,10.66,14.395,56,6.0032,2011,1,16,6,2
15,1,0,0,1,9.02,13.635,69,0.0,2011,1,16,6,3
1,1,0,0,1,10.66,12.88,56,11.0014,2011,1,16,6,4
2,1,0,0,2,10.66,12.88,56,11.0014,2011,1,16,6,5
1,1,0,0,2,10.66,12.88,56,11.0014,2011,1,16,6,6
3,1,0,0,2,9.84,10.605,56,19.9995,2011,1,16,6,7
18,1,0,0,1,9.02,10.605,55,19.0012,2011,1,16,6,8
32,1,0,0,1,9.02,10.605,51,16.9979,2011,1,16,6,9
79,1,0,0,1,9.02,10.605,51,19.0012,2011,1,16,6,10
93,1,0,0,1,9.84,11.365,44,16.9979,2011,1,16,6,11
104,1,0,0,1,9.84,10.605,41,19.0012,2011,1,16,6,12
118,1,0,0,1,10.66,11.365,35,19.9995,2011,1,16,6,13
91,1,0,0,1,11.48,13.635,36,16.9979,2011,1,16,6,14
113,1,0,0,1,10.66,12.12,38,16.9979,2011,1,16,6,15
99,1,0,0,1,9.84,11.365,38,15.0013,2011,1,16,6,16
105,1,0,0,1,9.02,10.605,37,16.9979,2011,1,16,6,17
67,1,0,0,1,8.2,10.605,40,11.0014,2011,1,16,6,18
61,1,0,0,1,7.38,9.85,47,8.9981,2011,1,16,6,19
57,1,0,0,1,7.38,9.85,47,11.0014,2011,1,16,6,20
28,1,0,0,1,7.38,9.85,51,11.0014,2011,1,16,6,21
21,1,0,0,2,8.2,10.605,49,8.9981,2011,1,16,6,22
18,1,0,0,2,8.2,11.365,40,7.0015,2011,1,16,6,23
17,1,1,0,2,8.2,9.85,47,15.0013,2011,1,17,0,0
16,1,1,0,2,8.2,9.85,44,12.998,2011,1,17,0,1
8,1,1,0,2,7.38,8.335,43,16.9979,2011,1,17,0,2
2,1,1,0,2,7.38,9.09,43,12.998,2011,1,17,0,3
3,1,1,0,2,7.38,9.85,43,8.9981,2011,1,17,0,4
1,1,1,0,2,7.38,9.85,43,11.0014,2011,1,17,0,5
5,1,1,0,2,7.38,9.09,43,12.998,2011,1,17,0,6
13,1,1,0,2,6.56,9.09,50,8.9981,2011,1,17,0,7
33,1,1,0,2,6.56,7.575,47,15.0013,2011,1,17,0,8
47,1,1,0,2,6.56,7.575,47,15.0013,2011,1,17,0,9
57,1,1,0,2,6.56,7.575,50,16.9979,2011,1,17,0,10
64,1,1,0,2,6.56,7.575,55,12.998,2011,1,17,0,11
80,1,1,0,2,7.38,9.85,47,8.9981,2011,1,17,0,12
93,1,1,0,2,7.38,9.85,47,8.9981,2011,1,17,0,13
86,1,1,0,2,7.38,10.605,43,7.0015,2011,1,17,0,14
93,1,1,0,2,8.2,10.605,47,11.0014,2011,1,17,0,15
